LATITUDE,LONGITUDE,ARC_ID,YEAR,VH,CYC,PED,FATAL,SERIOUS_INJURY,MINOR_INJURY,NO_INJURY
34.208351135,-118.581916809,381418053534208342122873035_3814181465342083426453168264,2020,0,0,1,0,0,1,0
34.231811523,-118.575462341,381424556534231849122747012_3814245415342317176403370209,2020,1,0,0,0,0,0,1
34.193496704,-118.483657837,3815163435341934617249450109_3815163415341938097025094943,2020,1,0,0,0,0,0,1
34.208957672,-118.406829834,38159242753421166929570274_38159336253420822721703078,2022,1,0,0,0,0,0,1
34.221324921,-118.485015869,381514752534221331123045457_3815154715342213354035393724,2020,1,0,0,0,0,0,1
34.179401398,-118.445343018,3815539495341793988218899135_3815552085341794024049176525,2020,1,0,0,0,0,0,1
34.184684753,-118.450912476,381549090534184655123163278_3815490905341847457314506962,2020,0,1,0,0,0,0,1
34.186576843,-118.592758179,3814071875341863924089413274_3814071845341866073884188215,2020,0,0,1,0,0,0,1
34.257259369,-118.586410522,3814136115342572949351943340_3814136125342572559351943347,2020,1,0,0,0,0,1,0
34.156665802,-118.421020508,3815785215341566716313641123_381578985534156693701936214,2022,1,0,0,0,1,0,0
34.211872101,-118.40737915,381593913534207070361447734_381591607534215548697187397,2022,1,0,0,0,0,0,1
34.171089172,-118.508293152,381484489534171118305705199_381495467534171095305705841,2022,1,0,0,0,0,1,0
34.266151428,-118.46219635,3815381385342661937113560661_3815370515342662485057621582,2022,1,0,0,1,0,0,0
34.208351135,-118.581916809,3814181465342083426453168264_381418053534208342122873035,2020,0,0,1,0,0,1,0
34.193496704,-118.483657837,3815163415341938097025094943_3815163435341934617249450109,2020,1,0,0,0,0,0,1
34.193832397,-118.553352356,3814470795341938494039025837_3814466295341938486298630033,2020,1,0,0,0,0,0,1
34.168258667,-118.497634888,3815020205341685061733962002_38150500453416657935361210,2022,1,0,0,0,0,0,1
34.172119141,-118.42250824,381577461534172140273617586_3815776535341721411919626482,2020,1,0,0,0,0,0,1
34.172119141,-118.42250824,3815776535341721411919626482_381577461534172140273617586,2020,1,0,0,0,0,0,1
34.178085327,-118.46900177,381530850534178347701900006_3815310125341780867118722410,2019,1,0,0,0,0,1,0
34.186660767,-118.451263428,3815487465341866683534705811_3815485815341866683534705810,2020,1,0,0,0,0,0,1
34.186660767,-118.451263428,3815485815341866683534705810_3815487465341866683534705811,2020,1,0,0,0,0,0,1
34.18667984,-118.430641174,3815694935341866777070975467_3815693515341866789747457086,2020,1,0,0,0,0,0,1
34.229602814,-118.562286377,3814377005342296825544099521_3814377025342292755572994241,2020,1,0,0,0,0,0,1
34.227596283,-118.410980225,3815895875342279489485705383_3815889545342276134076018437,2020,1,0,0,0,0,0,1
34.257511139,-118.472366333,3815276645342590727113560650_381527641534256779122474811,2022,1,0,0,0,0,1,0
34.171279907,-118.506950378,3814949805341712821733962055_3814847725341712701733961944,2022,1,0,0,0,0,0,1
34.170379639,-118.576133728,381424769534170740150992798_3814211195341693521831354346,2019,1,0,0,0,0,0,1
34.192005157,-118.474899292,3815250965341912847227444298_381525077534192158123381863,2018,0,0,1,1,0,0,0
34.221675873,-118.431083679,3815688675342216699958675952_3815689855342216696487335594,2018,0,0,1,1,0,0,0
34.260540009,-118.438789368,3815612705342603635376004285_3815610115342607795376004284,2022,1,0,0,0,0,0,1
34.15952301,-118.463752747,381536288534159515269577317_381534412534159707269578747,2019,1,0,0,0,0,0,1
34.171279907,-118.528434753,381472539534171270295422568_381471530534171274295426291,2019,1,0,0,0,0,0,1
34.186660767,-118.451545715,3815483165341866693534821856_3815484565341866694049020706,2020,1,0,0,0,0,0,1
34.185680389,-118.448730469,381551271534185685122682444_3815512725341856107437051881,2020,1,0,0,0,0,0,1
34.244911194,-118.473091125,3815269275342452487113560626_3815269225342446187113560625,2022,1,0,0,0,0,0,1
34.157611847,-118.431236267,3815689155341576206845213285_381568744534157620123031526,2020,1,0,0,0,0,1,0
34.201221466,-118.500297546,3814998665342012394035470162_3814995765342012404575741681,2020,1,0,0,0,0,1,0
34.171768188,-118.475616455,381524396534171770305708663_381524209534171712369785566,2020,1,0,0,0,1,0,0
34.201171875,-118.484176636,3815156975342011125549311091_3815160195342011125549311095,2020,1,0,0,0,0,0,1
34.178125,-118.536027,3814639745341785157114216596_3814639755341780174039006295,2020,1,0,0,0,0,0,1
34.186569214,-118.553489685,38144649653418659021478619_3814464955341864595320119817,2020,1,0,0,0,0,1,0
34.220481873,-118.553512573,381446433534220471123045552_3814465895342204747558360881,2020,1,0,0,0,0,0,1
34.183631897,-118.45425415,3815463095341836488578594208_3815449785341836507713206812,2020,0,0,1,0,0,0,1
34.221389771,-118.46774292,3815321805342214295000147843_381532344534221430123036319,2020,0,0,1,0,0,0,1
34.26481,-118.50666,381493350534264810123105418_3814932485342648106780182608,2020,0,0,1,0,1,0,0
34.17250061,-118.466148376,3815338165341724594049066525_3815338165341725407927751291,2020,1,0,0,0,0,0,1
34.17250061,-118.466148376,3815338165341725407927751291_3815338165341724594049066525,2020,1,0,0,0,0,0,1
34.171089172,-118.570632935,3814291935341710215993812566_3814295445341711384038904911,2020,1,0,0,0,0,0,1
34.21805191,-118.466423035,3815334975342180299319668441_3815336105342181283195076669,2020,1,0,0,0,0,0,1
34.235408783,-118.450248718,381549740534235412122746793_3815499145342354133493408107,2020,1,0,0,0,0,1,0
34.226959229,-118.588516235,381411457534226998123462978_3814114595342266384020500451,2020,1,0,0,0,0,0,1
34.226959229,-118.588516235,3814114595342266384020500451_381411457534226998123462978,2020,1,0,0,0,0,0,1
34.172088623,-118.465751648,3815341325341721294978095148_3815343455341721277927751298,2020,1,0,0,0,0,0,1
34.162799835,-118.469444275,3815305285341627299951666509_3815305285341629539951666508,2019,1,0,0,0,0,1,0
34.265758514,-118.450088501,381549898534265718297523286_381550466534265737297523331,2019,1,0,0,0,0,0,1
34.18667984,-118.430641174,3815693515341866789747457086_3815694935341866777070975467,2020,1,0,0,0,0,0,1
34.257537842,-118.435821533,381564902534256927364043017_381562033534259636297524298,2022,1,0,0,0,0,0,1
34.222640991,-118.473304749,381526710534225011362824649_381526697534221738420788634,2022,1,0,0,0,0,0,1
34.183864594,-118.399337769,381602846534182064361456951_381600590534183932361454806,2022,1,0,0,0,0,0,1
34.265972137,-118.479896545,3815200045342659997108182490_381520328534265974361490157,2019,1,0,0,0,0,1,0
34.235408783,-118.450248718,3815499145342354133493408107_381549740534235412122746793,2020,1,0,0,0,0,1,0
34.172088623,-118.465751648,3815343455341721277927751298_3815341325341721294978095148,2020,1,0,0,0,0,0,1
34.185680389,-118.439971924,381560005534185692122682439_3815600075341854944049188187,2020,1,0,0,0,0,0,1
34.171531677,-118.467750549,38153217153417441118165947_38153224653417134818165948,2022,1,0,0,0,0,0,1
34.224983215,-118.410865784,3815891365342248561957285397_3815891225342251604051966466,2022,1,0,0,0,0,0,1
34.155326843,-118.442184448,3815579115341553299151160861_381557612534155300374409462,2022,1,0,0,0,0,0,1
34.183448792,-118.39919281,3816007365341835666733370211_38160243053418221929570289,2019,1,0,0,0,0,0,1
34.165279388,-118.49029541,381510997534165301305706186_3815096435341652866312246124,2019,1,0,0,0,0,0,1
34.156829834,-118.448509216,381550999534157006370197586_38155157553415680035361231,2019,1,0,0,0,0,0,1
34.265735626,-118.455726624,3815411835342657621834079953_3815444295342657381377451613,2019,1,0,0,0,0,0,1
34.173233032,-118.538787842,381459540534173261295421668_381461351534173247295426316,2022,1,0,0,0,0,0,1
34.20483017,-118.448753357,3815511625342048374909412226_381551295534204833122993114,2020,0,0,1,0,0,0,1
34.154594421,-118.397834778,381602330534154564299534699_38160184053415463515298162,2019,1,0,0,0,0,0,1
34.173213959,-118.563575745,3814328275341729356090812054_381437637534173340697095644,2022,1,0,0,0,0,0,1
34.162208557,-118.470916748,381529365534161934269577553_381528899534162420269577739,2022,1,0,0,0,0,0,1
34.158031464,-118.468399048,3815314635341579317094867572_381531597534158129269578192,2022,1,0,0,0,0,0,1
34.237091064,-118.473167419,3815268485342371677113560622_3815268335342357964576697095,2022,1,0,0,0,0,0,1
34.201984406,-118.473510742,3815264875342020237113560611_3815264685342017857113560610,2022,1,0,0,0,0,0,1
34.213981628,-118.473388672,3815266355342157127113560614_3815265915342135147113560615,2022,1,0,0,0,0,0,1
34.177310944,-118.396492004,3816036535341773318737044758_381603482534177332123370717,2020,0,1,0,0,0,0,1
34.158798218,-118.469543457,3815304235341590427121059762_3815304455341587957121059761,2022,1,0,0,0,0,0,1
34.17345047,-118.540817261,381460073534173417295426284_381458682534173452295426636,2022,1,0,0,0,0,0,1
34.173736572,-118.558456421,3814429675341737091895161784_3814415035341737351969137165,2022,1,0,0,0,0,1,0
34.207771301,-118.473449707,381526539534208246362709558_3815265285342070807113560613,2022,1,0,0,0,1,0,0
34.167984009,-118.468887329,381531677534168919305532520_3815309135341676447118722393,2022,1,0,0,0,0,0,1
34.172039032,-118.467781067,38153217153417441118165947_38153224653417134818165948,2022,1,0,0,0,0,0,1
34.187870026,-118.474090576,3815259125341872497097321636_381525883534188827631892092,2019,1,0,0,0,0,0,1
34.265918732,-118.477882385,381521282534265919271331911_381523658534265904361485510,2022,1,0,0,0,1,0,0
34.173389435,-118.561531067,381437948534173366697095645_3814396525341735156501298907,2019,1,0,0,0,0,0,1
34.159072876,-118.458877563,3815412785341590976313641111_3815406335341592646773286467,2019,1,0,0,0,0,0,1
34.165306091,-118.475334167,38152486953416527825456562_381524494534165352702979637,2019,1,0,0,0,0,0,1
34.257270813,-118.472137451,3815273845342572767097285344_3815281895342572717097285347,2022,1,0,0,0,0,1,0
34.159507751,-118.462608337,38153782653415956835363002_381536288534159515269577317,2022,1,0,0,0,0,0,1
34.17350769,-118.556182861,381442861534173542122506067_381446333534173486697095408,2022,1,0,0,0,0,0,1
34.173030853,-118.537849426,381460684534173150295426773_3814632495341729484039072404,2019,1,0,0,0,0,0,1
34.154781342,-118.397331238,3816033385341548348738636517_381602396534154772299534676,2022,1,0,0,0,0,0,1
34.165214539,-118.481452942,381511390534165130305706226_3815228545341652836379965218,2022,1,0,0,0,0,0,1
34.244350433,-118.473091125,3815269225342446187113560625_3815269155342442117113560624,2022,1,0,0,0,0,1,0
34.185611725,-118.47403717,3815256465341857641981821848_3815260675341855575852381302,2019,1,0,0,0,0,1,0
34.185611725,-118.47403717,3815260675341855575852381302_3815256465341857641981821848,2019,1,0,0,0,0,1,0
34.256664276,-118.435203552,381564673534256745364042999_381565043534256407364043000,2019,1,0,0,0,0,1,0
34.257907867,-118.436523438,381561297534259924297523835_381564673534256745364042999,2019,1,0,0,0,0,0,1
34.237831116,-118.472740173,3815272485342376307097285374_3815272255342381497097285373,2022,1,0,0,0,0,0,1
34.266036987,-118.458961487,3815451625342660101377451617_381540934534266027271331989,2022,1,0,0,0,0,1,0
34.243167877,-118.420661926,381580715534242025122465734_381578802534243787364042339,2022,1,0,0,0,0,0,1
34.230548859,-118.398117065,3815971715342313335377612382_3816023815342305085377615540,2019,1,0,0,0,0,0,1
34.247261047,-118.447929382,3815521045342472684856704867_381551796534247082122993151,2020,1,0,0,0,0,1,0
34.25,-118.566703796,381433285534250011123117834_3814332835342498987159754548,2020,1,0,0,0,0,0,1
34.258766174,-118.43711853,381564902534256927364043017_381562033534259636297524298,2022,1,0,0,0,0,0,1
34.221000671,-118.518630981,381481374534221000123045498_3814812185342209976468845344,2020,1,0,0,0,0,1,0
34.257663727,-118.435951233,381564902534256927364043017_381562033534259636297524298,2019,1,0,0,0,0,0,1
34.188251495,-118.474327087,3815256365341914697117230066_3815256885341879307117230067,2022,1,0,0,0,0,0,1
34.183597565,-118.399375916,381600279534183946362409104_3816007365341835666733370211,2019,1,0,0,0,0,0,1
34.159088135,-118.458938599,3815412785341590976313641111_3815406335341592646773286467,2019,1,0,0,0,0,0,1
34.164661407,-118.469490051,3815305285341629539951666508_381530498534164801701927361,2022,1,0,0,0,0,0,1
34.201160431,-118.553466797,3814466145342011696399711551_381446467534201170123292683,2020,1,0,0,0,0,0,1
34.262699127,-118.472312927,381527708534264141361487096_3815276795342605897113560651,2022,1,0,0,0,0,0,1
34.260391235,-118.438583374,381562033534259636297524298_3815612705342603635376004285,2022,1,0,0,0,0,0,1
34.191413879,-118.544761658,381455227534190223123716513_3814552245341916534039031405,2020,1,0,0,0,0,0,1
34.191413879,-118.544761658,3814552245341916534039031405_381455227534190223123716513,2020,1,0,0,0,0,0,1
34.162891388,-118.520248413,381479721534162927122852633_381479743534162785123798905,2020,1,0,0,0,0,0,1
34.162891388,-118.520248413,381479743534162785123798905_381479721534162927122852633,2020,1,0,0,0,0,0,1
34.265716553,-118.442863464,381556975534265924297522009_381557416534265286297522120,2022,1,0,0,0,0,1,0
34.260414124,-118.438858032,3815612705342603635376004285_381560812534260789297524284,2019,1,0,0,0,0,0,1
34.257259369,-118.579841614,3814200065342572566784328045_381420166534257256122610177,2020,1,0,0,0,0,0,1
34.164871216,-118.413803101,381586205534164876123340921_3815860585341648768562396429,2020,1,0,0,0,0,0,1
34.186660767,-118.439979553,3815601195341866687544183415_381560008534186667123301277,2020,1,0,0,0,0,0,1
34.220249176,-118.571098328,38142894753422021329409694_3814287985342202096399479984,2020,1,0,0,0,0,0,1
34.264266968,-118.441932678,381557968534264434297522172_381558839534263035297522158,2022,1,0,0,0,0,0,1
34.193950653,-118.407546997,381592719534193953123125989_3815922865341939514048828631,2020,1,0,0,0,0,0,1
34.173542023,-118.559242249,3814407205341735591969137162_3814411405341735662590871591,2019,1,0,0,0,0,0,1
34.186618805,-118.483650208,3815163435341866501564257015_381516338534186508316560533,2020,1,0,0,0,0,0,1
34.151931763,-118.454872131,3815457055341518466787863793_3815450755341519527648919310,2020,1,0,0,0,0,0,1
34.18667984,-118.41368103,3815863165341866857543883712_3815865835341866863687676113,2020,1,0,0,0,0,0,1
34.235569,-118.476341248,381523665534235595122746824_3815236645342354606710968064,2020,1,0,0,0,1,0,0
34.191158295,-118.588432312,381411546534191175123739791_3814116865341911795950492550,2020,1,0,0,0,1,0,0
34.260829926,-118.579841614,3814201665342607996784129494_381420166534260856122610180,2020,1,0,0,0,0,0,1
34.25,-118.544837952,381455145534250023123117803_3814551455342499655728137390,2020,1,0,0,0,0,1,0
34.235599518,-118.480712891,381519295534235617122746826_3815192935342354916710916521,2020,1,0,0,0,0,1,0
34.166698456,-118.494850159,3815057225341663286382480893_3815044915341671146382480900,2022,1,0,0,0,0,1,0
34.154350281,-118.397239685,381602596534154372299534957_381602982534154351299534956,2022,1,0,0,0,0,1,0
34.198451996,-118.447715759,3815526315341984688186760109_3815522525341984674874852794,2020,1,0,0,0,0,0,1
34.172130585,-118.413742065,381586268534172151273619076_3815861795341720166348919166,2020,1,0,0,0,0,1,0
34.186580658,-118.54473877,3814553725341866035993353431_381455232534186603123414425,2020,1,0,0,0,0,1,0
34.17275238,-118.568229675,3814309365341725131738712296_3814321415341728401738712297,2022,1,0,0,0,0,0,1
34.260311127,-118.438751221,381562033534259636297524298_3815612705342603635376004285,2019,1,0,0,0,0,0,1
34.23582077,-118.472946167,3815270435342357954576697094_3815270615342374787097285371,2022,1,0,0,0,0,0,1
34.184280396,-118.399772644,3816002925341842124051966442_381600012534184513361454808,2020,1,0,0,0,0,0,1
34.254810333,-118.47215271,381527828534254051122408138_3815278605342575387108182504,2022,1,0,0,0,0,0,1
34.15555191,-118.436477661,3815611925341555776313641116_381565195534155562305537117,2022,1,0,0,0,0,0,1
34.174755096,-118.46787262,3815321025341750756379950396_3815321455341747377118722392,2022,1,0,0,0,0,0,1
34.221660614,-118.434211731,3815653095342216624075735204_381565883534221668370923287,2020,1,0,0,0,0,0,1
34.221660614,-118.434211731,381565883534221668370923287_3815653095342216624075735204,2020,1,0,0,0,0,0,1
34.208427429,-118.553512573,38144645053420837535354876_3814464545342084996397811523,2020,1,0,0,0,1,0,0
34.185317993,-118.570968628,3814290475341855775993742930_3814290475341851467912517967,2020,1,0,0,0,0,0,1
34.19393158,-118.444297791,3815557195341939417311336815_381555636534193939123126022,2020,1,0,0,0,0,0,1
34.172092438,-118.536003113,3814639905341722493049853976_3814639905341719237724394433,2020,1,0,0,0,0,1,0
34.256946564,-118.435195923,381564902534256927364043017_381562033534259636297524298,2022,1,0,0,0,0,0,1
34.158920288,-118.469871521,381530124534159367269574466_381530232534158765269574467,2022,1,0,0,0,0,0,1
34.201129913,-118.48348999,3815164885342011147221986189_3815168575342011137532137982,2020,1,0,0,0,0,0,1
34.234916687,-118.412155151,3815877905342349155377605897_381588554534234202272242349,2019,1,0,0,0,0,0,1
34.201179504,-118.531677246,3814683865342011916399117042_381468301534201191123095984,2020,1,0,0,0,0,0,1
34.266418457,-118.443641663,381556594534266320297529843_381556220534266430297529410,2022,1,0,0,0,0,1,0
34.213401794,-118.473167419,381526799534208656362709049_381526850534216224123727809,2019,1,0,0,0,0,0,1
34.179843903,-118.395561218,38160442253417991121703083_38160457353417965229570291,2022,1,0,0,0,0,0,1
34.247283936,-118.472755432,3815273415342477201831644554_381527072534246527362727082,2022,1,0,0,0,0,0,1
34.191730499,-118.402282715,381597665534192170361452295_38159828553418756921703080,2022,1,0,0,0,0,0,1
34.200756073,-118.40335083,381596680534200600361448835_381596573534200960361448836,2019,1,0,0,0,0,0,1
34.170055389,-118.405258179,3815947545341699724048772460_3815947475341701374048772461,2020,0,0,1,0,0,0,1
34.217418671,-118.409126282,381590549534218593306526271_3815909425342171521377610420,2022,1,0,0,0,0,0,1
34.248199463,-118.472549438,3815274815342483677113560631_3815274175342480497113560630,2022,1,0,0,0,0,0,1
34.154338837,-118.396789551,381602982534154351299534956_38160332053415435135361250,2022,1,0,0,0,0,0,1
34.170368195,-118.536003113,3814639975341700688375940441_3814639955341703726032494267,2020,1,0,0,0,0,0,1
34.179981232,-118.536010742,381463980534179983279150529_3814641315341799816283735127,2020,1,0,0,0,0,0,1
34.193950653,-118.396522522,381603495534193947123125963_3816031925341939478578719638,2020,1,0,0,0,0,0,1
34.193950653,-118.396522522,3816031925341939478578719638_381603495534193947123125963,2020,1,0,0,0,0,0,1
34.201011658,-118.579727173,3814202525342009991832501889_3814203905342009996283723627,2020,0,0,1,0,0,0,1
34.16550827,-118.474319458,381525926534165614702979689_381525653534165507702979690,2022,1,0,0,0,0,0,1
34.185661316,-118.457450867,381542544534185677370600246_3815425445341851707144592739,2020,0,0,1,0,1,0,0
34.185661316,-118.457450867,3815425445341851707144592739_381542544534185677370600246,2020,0,0,1,0,1,0,0
34.162418365,-118.518547058,3814815575341624085992262055_381481409534162449122852625,2020,0,0,1,0,0,1,0
34.153308868,-118.469192505,3815307035341528867413136174_381530805534153317269580416,2020,1,0,0,0,0,0,1
34.18663,-118.474857,3815256035341866517097321645_381525076534186647370210517,2020,1,0,0,0,0,1,0
34.196716309,-118.474197388,3815257845341966337097321618_381525806534196951362703793,2022,1,0,0,0,0,0,1
34.24143219,-118.418823242,38158374553423920710239946111_381580715534242025122465734,2019,1,0,0,0,0,1,0
34.155742645,-118.427719116,38157238253415573929409683_3815715725341558267435251921,2022,1,0,0,0,0,0,1
34.154338837,-118.396018982,381603708534154354299534127_381604616534154350805394691,2022,1,0,0,0,0,0,1
34.239170074,-118.473144531,3815268695342395871887607900_3815268485342371677113560622,2019,1,0,0,0,0,0,1
34.155879974,-118.447570801,3815523845341559413786108758_381552382534155281122981377,2020,0,1,0,0,0,0,1
34.170726776,-118.575210571,3814256995341711151832802877_381424769534170740150992798,2019,1,0,0,0,0,0,1
34.186229706,-118.402931213,381597128534186265361454052_381597137534185981361454053,2022,1,0,0,0,0,1,0
34.169197083,-118.498672485,3815029035341681561733962057_3815005535341696646382480891,2022,1,0,0,0,0,0,1
34.172420502,-118.467788696,38153217153417441118165947_38153224653417134818165948,2019,1,0,0,0,1,0,0
34.237739563,-118.47315979,3815268695342395871887607900_3815268485342371677113560622,2020,1,0,0,0,0,0,1
34.265781403,-118.448257446,381551613534265758297524034_381552653534265830297523950,2022,1,0,0,0,0,1,0
34.243225098,-118.420722961,381580715534242025122465734_381578802534243787364042339,2020,0,0,1,0,1,0,0
34.171092987,-118.522666931,381472873534171108697095127_381477974534171117305705196,2019,1,0,0,0,0,0,1
34.198711395,-118.474098206,3815261865342000057113560593_381525829534198362362704179,2019,1,0,0,0,0,0,1
34.157798767,-118.45300293,381547608534157780370682930_38154686553415783459832561,2022,1,0,0,0,0,0,1
34.172370911,-118.467552185,381532455534171401552448040_3815323845341739598534411102,2019,1,0,0,0,0,0,1
34.241348267,-118.472892761,3815270815342399117097285370_3815270975342413737097285369,2019,1,0,0,0,0,1,0
34.200634003,-118.473464966,3815264405342002047097321611_381526566534200937362706086,2019,1,0,0,0,0,0,1
34.263809204,-118.44090271,381559356534263392297529860_381559084534263877297529830,2022,1,0,0,0,0,0,1
34.239608765,-118.473136902,381526900534242623627963320_3815268695342395871887607900,2022,1,0,0,0,0,0,1
34.169197083,-118.499061584,3815003045341696161733961978_3815020205341685061733962002,2019,1,0,0,0,0,0,1
34.16254425,-118.471206665,381528899534162420269577739_381528172534163308269577740,2019,1,0,0,0,0,0,1
34.17073822,-118.502197266,3814976295341707921733962032_3814981065341706516382480887,2019,1,0,0,0,0,1,0
34.1733284,-118.544960022,381451826534173389122456244_381455104534173337697095266,2022,1,0,0,0,0,0,1
34.165382385,-118.483276367,381523781534165446702979641_381510997534165301305706186,2022,1,0,0,0,0,0,1
34.155479431,-118.400985718,38159892853415551935361246_381599739534155117299534935,2019,1,0,0,0,0,0,1
34.175140381,-118.467918396,3815320465341754167118722399_3815321025341750756379950396,2022,1,0,0,0,1,0,0
34.200332642,-118.473754883,381526312534200637362732781_3815261865342000057113560593,2019,1,0,0,0,0,0,1
34.194789886,-118.474197388,381525801534194134362702651_381525772534195834362703427,2022,1,0,0,0,0,0,1
34.216190338,-118.473136902,381526799534208656362709049_381526850534216224123727809,2022,1,0,0,0,0,0,1
34.184551239,-118.399589539,3816004655341845511658544043_381600414534184643361455547,2022,1,0,0,0,0,0,1
34.171283722,-118.516777039,3814847725341712701733961944_381481627534171306697094883,2022,1,0,0,0,0,0,1
34.158065796,-118.455581665,38154446453415812635363000_38154385353415828915298176,2019,1,0,0,0,0,0,1
34.203289032,-118.404502869,3815955865342030484051966452_381594938534204384361449172,2019,1,0,0,0,0,0,1
34.173168182,-118.536003113,381463991534172903295426776_381463985534173696295426471,2019,1,0,0,0,0,0,1
34.266067505,-118.468482971,381532395534266066361483796_3815297475342660841361561229,2019,1,0,0,0,0,0,1
34.237400055,-118.473350525,3815266625342376273838233591_3815266115342372243838233587,2022,1,0,0,0,0,0,1
34.156620026,-118.409362793,381589471534156651361119398_381594511534156619563325989,2022,1,0,0,0,1,0,0
34.240421295,-118.473129272,381526900534242623627963320_3815268695342395871887607900,2022,1,0,0,0,0,0,1
34.246528625,-118.472923279,3815273415342477201831644554_381527072534246527362727082,2022,1,0,0,0,0,1,0
34.165245056,-118.47631073,381523476534165267702979631_38152396653416522015307189,2022,1,0,0,0,0,0,1
34.155963898,-118.446563721,3815530735341561383786108798_3815537195341558463786108799,2022,1,0,0,0,0,0,1
34.260826111,-118.439254761,381560812534260789297524284_381560499534261115297524299,2022,1,0,0,0,0,0,1
34.17301178,-118.467803955,38153217153417441118165947_38153224653417134818165948,2022,1,0,0,0,0,0,1
34.21969986,-118.452522278,3815475385342197587155729074_3815471795342197567911413597,2020,1,0,0,0,0,0,1
34.156829834,-118.413787842,381586208534157054122450764_3815862065341564524075371000,2019,1,0,0,0,0,0,1
34.156829834,-118.413787842,3815862065341564524075371000_381586208534157054122450764,2019,1,0,0,0,0,0,1
34.157306671,-118.449417114,381551001534157180370197583_38155053253415732235362998,2019,1,0,0,0,0,0,1
34.155723572,-118.427970886,3815720545341557216313641119_3815716605341557091969137137,2019,1,0,0,0,0,0,1
34.203826904,-118.405029297,381594580534204665361449050_3815955515342027178362783917,2022,1,0,0,0,0,0,1
34.156661987,-118.418823242,381578985534156693701936214_381582581534156680701940735,2022,1,0,0,0,0,0,1
34.185329437,-118.400222778,381599844534185172361455830_381599674534185453361455831,2022,1,0,0,0,0,0,1
34.222629547,-118.47354126,3815264465342226923085048185_3815263015342215323835218810,2022,1,0,0,0,0,1,0
34.210338593,-118.448768616,381551272534210299122993117_3815512745342103906952310349,2020,1,0,0,0,0,0,1
34.184638977,-118.448760986,381551272534184663122993079_3815511135341846617311044162,2020,0,0,1,0,0,1,0
34.16778183,-118.588920593,3814110515341677504038920357_3814114995341676984038920356,2019,1,0,0,0,0,1,0
34.171089172,-118.512611389,381484489534171118305705199_381495467534171095305705841,2019,1,0,0,0,0,0,1
34.227500916,-118.473258972,381526757534228035627963308_381526710534225011362824649,2019,1,0,0,0,0,0,1
34.208400726,-118.523887634,3814767245342084124033816985_381475934534208412122755718,2020,1,0,0,0,0,0,1
34.220481873,-118.553512573,3814465895342204747558360881_381446433534220471123045552,2020,1,0,0,0,0,1,0
34.232330322,-118.408439636,381591423534232340358000774_381591877534232189272242320,2019,1,0,0,0,0,0,1
34.25812912,-118.441612244,381558301534258178123508720_3815588895342576342591802560,2020,1,0,0,0,0,0,1
34.193820953,-118.564880371,38143509653419383027440381_38143548553419383210045729089,2020,1,0,0,0,0,0,1
